Rang;Ouverture;Base;Lumiere;Ouverture;Base;Lumiere;Ouverture-Base;Ouverture-Lumiere;Lumiere-Base;Orientation
1;Bourges;Rocamadour;La Ferté-Alais;167.55;4.72;7.73;260.4;159.36;417.42;CW
2;Bourges;Rocamadour;Taillebourg;46.76;69.31;63.93;260.4;271.59;211.45;CW
3;Bourges;Saint-Amour;Jumièges;130.17;27.5;22.32;235.93;286.36;474.19;CCW
4;Bourges;Saint-Amour;Grotte de Lombrives;81.07;71.09;27.84;235.93;477.0;498.43;CW
5;Bourges;Le Goulet;Pic du Midi;140.87;26.54;12.59;240.68;493.49;696.8;CCW
6;Bourges;Le Goulet;Beaugency;19.09;11.94;148.97;240.68;96.67;152.65;CCW
7;Bourges;Pont de Noirmoutier;Pertuis d'Antioche;18.98;57.48;103.54;346.27;300.23;115.69;CCW
8;Bourges;Pont de Noirmoutier;Mirebeau;8.39;8.09;163.52;346.27;171.74;178.13;CCW
9;Bourges;Rocamadour;Lac-de-Trémelin;96.78;49.1;34.13;260.4;351.45;461.2;CW
10;Bourges;Rocamadour;St Julien de Mailloc;132.27;24.35;23.37;260.4;270.84;485.69;CW
11;Bourges;Reims;Villefrancoeur;78.05;23.81;78.14;271.26;112.0;271.39;CCW
12;Bourges;Reims;Thury-sous-Clermont;27.17;68.29;84.54;271.26;253.07;124.64;CCW
13;Bourges;Gergovie;Rumigny;135.81;30.09;14.1;161.91;333.26;463.19;CCW
14;Bourges;Gergovie;Solesmes;134.26;26.56;19.18;161.91;220.68;353.24;CW
15;Bourges;Carignan;Bâle;45.44;75.42;59.14;350.1;395.23;290.61;CW
16;Bourges;Carignan;Boulogne-sur-Mer;42.58;80.1;57.32;350.1;409.47;281.75;CCW
17;Bourges;Bouvines;Paris;9.5;9.1;161.4;393.36;195.11;203.51;CCW
18;Bourges;Bouvines;Waterloo;11.33;106.39;62.28;393.36;426.4;87.51;CW
19;Bourges;Île-d'Aix;Mayence;163.19;10.86;5.95;298.19;541.31;831.26;CW
20;Bourges;Île-d'Aix;Pevensey;93.03;53.99;32.98;298.19;442.41;546.1;CW
21;Bourges;Aléria;Sainte-Mère-Église;177.23;0.9;1.87;789.03;378.14;1166.87;CCW
22;Bourges;Aléria;Massif des Maures;11.79;23.05;145.16;789.03;540.52;282.41;CW
23;Bourges;Île-d'Aix;3RDV;0.53;178.18;1.3;298.19;419.0;120.85;CW
24;Bourges;Île-d'Aix;Vézelay;178.9;0.3;0.8;298.19;110.67;408.85;CW
25;Bourges;Metz;Brétigny;71.44;26.11;82.45;361.19;160.17;345.66;CCW
26;Bourges;Metz;Troyes;7.46;7.66;164.88;361.19;184.57;179.79;CCW
27;Bourges;Château-Gaillard;Montereau;32.48;33.18;114.33;250.89;150.7;148.03;CW
28;Bourges;Château-Gaillard;Guérande;67.18;72.08;40.75;250.89;366.43;354.74;CCW
29;Bourges;Coetquidan;Chinon;13.15;10.71;156.14;356.02;163.63;200.14;CCW
30;Bourges;Coetquidan;Rouen;53.05;50.04;76.92;356.02;279.67;291.97;CW
31;Bourges;Domrémy;Donon;7.08;154.11;18.81;288.39;390.65;110.33;CW
32;Bourges;Domrémy;Puy de Dôme;106.07;23.84;50.09;288.39;151.78;360.98;CW
